start, stop
Tue Sep 15 10:49:24 2015,Tue Sep 15 10:49:28 2015
Tue Sep 15 10:49:28 2015,Tue Sep 15 10:49:35 2015
Tue Sep 15 10:49:35 2015,Tue Sep 15 10:49:39 2015
Tue Sep 15 10:49:39 2015,Tue Sep 15 10:49:44 2015
Tue Sep 15 10:49:44 2015,Tue Sep 15 10:49:51 2015
Tue Sep 15 10:49:51 2015,Tue Sep 15 10:49:55 2015
Tue Sep 15 10:49:55 2015,Tue Sep 15 10:49:59 2015
Tue Sep 15 10:49:59 2015,Tue Sep 15 10:50:06 2015
Tue Sep 15 10:50:06 2015,Tue Sep 15 10:50:11 2015
Tue Sep 15 10:50:11 2015,Tue Sep 15 10:50:15 2015
Tue Sep 15 10:50:15 2015,Tue Sep 15 10:50:50 2015
Tue Sep 15 10:50:50 2015,Tue Sep 15 10:50:58 2015
Tue Sep 15 10:50:58 2015,Tue Sep 15 10:51:05 2015
Tue Sep 15 10:51:05 2015,Tue Sep 15 10:51:10 2015
Tue Sep 15 10:51:10 2015,Tue Sep 15 10:51:15 2015
Tue Sep 15 10:51:15 2015,Tue Sep 15 10:51:20 2015
Tue Sep 15 10:51:20 2015,Tue Sep 15 10:51:28 2015
Tue Sep 15 10:51:28 2015,Tue Sep 15 10:51:35 2015
Tue Sep 15 10:51:35 2015,Tue Sep 15 10:51:38 2015
Tue Sep 15 10:51:38 2015,Tue Sep 15 10:51:42 2015
Tue Sep 15 10:51:42 2015,Tue Sep 15 10:51:50 2015
Tue Sep 15 10:51:50 2015,Tue Sep 15 10:51:54 2015
Tue Sep 15 10:51:54 2015,Tue Sep 15 10:51:58 2015
Tue Sep 15 10:51:58 2015,Tue Sep 15 10:52:06 2015
Tue Sep 15 10:52:06 2015,Tue Sep 15 10:52:10 2015
Tue Sep 15 10:52:10 2015,Tue Sep 15 10:52:14 2015
Tue Sep 15 10:52:14 2015,Tue Sep 15 10:52:21 2015
Tue Sep 15 10:52:21 2015,Tue Sep 15 10:52:26 2015
Tue Sep 15 10:52:26 2015,Tue Sep 15 10:52:30 2015
Tue Sep 15 10:52:30 2015,Tue Sep 15 10:52:37 2015
Tue Sep 15 10:52:37 2015,Tue Sep 15 10:52:41 2015
Tue Sep 15 10:52:41 2015,Tue Sep 15 10:52:45 2015
Tue Sep 15 10:52:45 2015,Tue Sep 15 10:52:52 2015
Tue Sep 15 10:52:52 2015,Tue Sep 15 10:52:59 2015
Tue Sep 15 10:52:59 2015,Tue Sep 15 10:53:04 2015
Tue Sep 15 10:53:04 2015,Tue Sep 15 10:53:08 2015
Tue Sep 15 10:53:08 2015,Tue Sep 15 10:53:12 2015
Tue Sep 15 10:53:12 2015,Tue Sep 15 10:53:16 2015
Tue Sep 15 10:53:16 2015,Tue Sep 15 10:53:28 2015
Tue Sep 15 10:53:28 2015,Tue Sep 15 10:53:32 2015
Tue Sep 15 10:53:32 2015,Tue Sep 15 10:53:37 2015
Tue Sep 15 10:53:37 2015,Tue Sep 15 10:53:41 2015
Tue Sep 15 10:53:41 2015,Tue Sep 15 10:53:46 2015
Tue Sep 15 10:53:46 2015,Tue Sep 15 10:53:53 2015
Tue Sep 15 10:53:53 2015,Tue Sep 15 10:53:58 2015
Tue Sep 15 10:53:58 2015,Tue Sep 15 10:54:02 2015
Tue Sep 15 10:54:25 2015,Tue Sep 15 10:54:38 2015
Tue Sep 15 10:54:55 2015,Tue Sep 15 10:55:02 2015
Tue Sep 15 10:55:25 2015,Tue Sep 15 10:55:32 2015
Tue Sep 15 10:55:55 2015,Tue Sep 15 10:56:02 2015
Tue Sep 15 10:56:25 2015,Tue Sep 15 10:56:32 2015
Tue Sep 15 10:56:55 2015,Tue Sep 15 10:57:08 2015
Tue Sep 15 10:57:25 2015,Tue Sep 15 10:57:38 2015
Tue Sep 15 10:57:55 2015,Tue Sep 15 10:58:06 2015
Tue Sep 15 10:58:25 2015,Tue Sep 15 10:58:32 2015
Tue Sep 15 10:58:55 2015,Tue Sep 15 10:59:09 2015
Tue Sep 15 10:59:25 2015,Tue Sep 15 10:59:32 2015
